,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1061698,85.0
1,Memento,2000,8.5,80,910376,85.0
2,Snatch,2000,8.3,55,643884,83.0
3,Requiem for a Dream,2000,8.4,68,618080,84.0
4,X-Men,2000,7.4,64,485765,74.0
5,Cast Away,2000,7.7,73,422451,77.0
6,American Psycho,2000,7.6,64,383889,76.0
7,Unbreakable,2000,7.2,62,274160,72.0
8,Meet the Parents,2000,7.0,73,272141,70.0
9,Mission: Impossible II,2000,6.1,59,256914,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,239056,78.0
11,Gone in Sixty Seconds,2000,6.5,35,228283,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,226006,79.0
13,The Patriot,2000,7.1,63,218766,71.0
14,Almost Famous,2000,7.9,90,217482,79.0
15,Pitch Black,2000,7.1,49,201434,71.0
16,Scary Movie,2000,6.2,48,196580,62.0
17,"Me, Myself & Irene",2000,6.6,49,194224,66.0
18,Final Destination,2000,6.7,36,191175,67.0
19,The Beach,2000,6.6,43,188157,66.0
20,Amores Perros,2000,8.1,83,184938,81.0
21,Traffic,2000,7.6,86,176250,76.0
22,Remember the Titans,2000,7.8,48,169590,78.0
23,What Women Want,2000,6.4,47,166832,64.0
24,Chocolat,2000,7.3,64,157119,73.0
25,How the Grinch Stole Christmas,2000,6.0,46,153663,60.0
26,Charlie's Angels,2000,5.5,52,151300,55.0
27,High Fidelity,2000,7.5,79,149058,75.0
28,Chicken Run,2000,7.0,88,148254,70.0
29,Miss Congeniality,2000,6.2,43,147694,62.0
30,Battle Royale,2000,7.7,81,145753,77.0
31,Erin Brockovich,2000,7.3,73,143389,73.0
32,The Emperor's New Groove,2000,7.3,70,139018,73.0
33,Road Trip,2000,6.5,55,138905,65.0
34,The Perfect Storm,2000,6.4,59,138064,64.0
35,"Dude, Where's My Car?",2000,5.5,30,120797,55.0
36,Hollow Man,2000,5.7,24,106538,57.0
37,Scream 3,2000,5.5,56,103818,55.0
38,The 6th Day,2000,5.9,49,103736,59.0
39,Billy Elliot,2000,7.7,74,103200,77.0
40,Shanghai Noon,2000,6.6,77,102142,66.0
41,What Lies Beneath,2000,6.6,51,102029,66.0
42,Pay It Forward,2000,7.2,40,100507,72.0
43,Coyote Ugly,2000,5.6,27,94444,56.0
44,The Whole Nine Yards,2000,6.7,47,94126,67.0
45,Men of Honor,2000,7.2,56,93868,72.0
46,The Family Man,2000,6.7,42,89881,67.0
47,Frequency,2000,7.4,67,86655,74.0
48,Bedazzled,2000,6.0,49,85280,60.0
49,Little Nicky,2000,5.3,38,84457,53.0
50,Dancer in the Dark,2000,8.0,61,84051,80.0
51,In the Mood for Love,2000,8.1,85,84045,81.0
52,The Cell,2000,6.3,40,83247,63.0
53,Finding Forrester,2000,7.3,62,75185,73.0
54,Bring It On,2000,5.9,52,73606,59.0
55,Malèna,2000,7.5,54,70523,75.0
56,Big Momma's House,2000,5.1,33,70296,51.0
57,U-571,2000,6.6,62,68132,66.0
58,Battlefield Earth,2000,2.4,9,67542,24.0
59,The Road to El Dorado,2000,6.9,51,64229,69.0
60,Space Cowboys,2000,6.4,73,63013,64.0
61,Mission to Mars,2000,5.6,34,62824,56.0
62,Shaft,2000,5.9,50,60794,59.0
63,Romeo Must Die,2000,6.1,52,59201,61.0
64,Wonder Boys,2000,7.4,73,56246,74.0
65,The Gift,2000,6.7,62,54624,67.0
66,Titan A.E.,2000,6.6,48,53765,66.0
67,Vertical Limit,2000,5.9,48,51639,59.0
68,The Crimson Rivers,2000,6.9,49,50717,69.0
69,Proof of Life,2000,6.2,45,50568,62.0
70,The Replacements,2000,6.5,30,50375,65.0
71,Red Planet,2000,5.7,34,49404,57.0
72,Best in Show,2000,7.5,78,47672,75.0
73,The Legend of Bagger Vance,2000,6.7,47,47556,67.0
74,Thirteen Days,2000,7.3,67,47260,73.0
75,Quills,2000,7.3,70,46306,73.0
76,Keeping the Faith,2000,6.4,60,45954,64.0
77,Sexy Beast,2000,7.3,79,45472,73.0
78,Boiler Room,2000,7.0,63,43212,70.0
79,Dinosaur,2000,6.5,56,41302,65.0
80,Nutty Professor II: The Klumps,2000,4.3,38,41283,43.0
81,Nine Queens,2000,7.9,80,40930,79.0
82,Rules of Engagement,2000,6.4,45,39039,64.0
83,28 Days,2000,6.0,46,36492,60.0
84,The Kid,2000,6.1,45,35774,61.0
85,Shadow of the Vampire,2000,6.9,71,35298,69.0
86,Ginger Snaps,2000,6.8,70,34954,68.0
87,Tigerland,2000,7.0,55,34359,70.0
88,Reindeer Games,2000,5.7,37,32677,57.0
89,Chopper,2000,7.2,65,32571,72.0
90,Small Time Crooks,2000,6.7,69,32569,67.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,31142,40.0
92,Nurse Betty,2000,6.2,69,30644,62.0
93,Next Friday,2000,6.1,41,29642,61.0
94,Get Carter,2000,5.1,24,28547,51.0
95,Dungeons & Dragons,2000,3.6,14,28505,36.0
96,Dracula 2000,2000,4.9,26,28356,49.0
97,The Way of the Gun,2000,6.7,49,28303,67.0
98,Where the Heart Is,2000,6.8,30,28182,68.0
99,102 Dalmatians,2000,4.8,35,28085,48.0
100,The Skulls,2000,5.6,24,27811,56.0
101,The Art of War,2000,5.7,30,25971,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,24255,77.0
103,You Can Count on Me,2000,7.7,85,23972,77.0
104,Pollock,2000,7.0,77,23970,70.0
105,Loser,2000,5.3,35,23803,53.0
106,The Watcher,2000,5.3,22,22936,53.0
107,Before Night Falls,2000,7.3,85,21532,73.0
108,Autumn in New York,2000,5.5,24,21221,55.0
109,The Contender,2000,7.0,59,21071,70.0
110,J.S.A.: Joint Security Area,2000,7.9,58,20365,79.0
111,Brother,2000,7.2,47,19392,72.0
112,Under Suspicion,2000,6.5,43,19044,65.0
113,The Million Dollar Hotel,2000,5.9,25,18962,59.0
114,State and Main,2000,6.8,75,18791,68.0
115,Tillsammans,2000,7.5,84,18190,75.0
116,Bounce,2000,5.7,52,18173,57.0
117,In July,2000,7.8,71,17617,78.0
118,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17220,42.0
119,My Dog Skip,2000,7.0,61,17215,70.0
120,Return to Me,2000,6.9,54,17080,69.0
121,Highlander: Endgame,2000,4.6,21,17031,46.0
122,The Yards,2000,6.4,58,16932,64.0
123,The Flintstones in Viva Rock Vegas,2000,3.6,27,16554,36.0
124,Center Stage,2000,6.7,52,16415,67.0
125,Dr. T & the Women,2000,4.6,64,16059,46.0
126,Saving Grace,2000,6.9,62,15893,69.0
127,Blinkende lygter,2000,7.7,47,15750,77.0
128,Love & Basketball,2000,7.2,70,15233,72.0
129,Supernova,2000,4.8,19,15166,48.0
130,Rape Me,2000,4.5,35,15104,45.0
131,Boys and Girls,2000,5.4,29,14249,54.0
132,Yi Yi,2000,8.1,92,14148,81.0
133,The Tigger Movie,2000,6.3,53,14052,63.0
134,Sånger från andra våningen,2000,7.7,76,13749,77.0
135,Urban Legends: Final Cut,2000,4.1,16,13597,41.0
136,The Princess and the Warrior,2000,7.6,64,13318,76.0
137,The Dish,2000,7.2,74,13225,72.0
138,The Man Who Cried,2000,6.2,40,12934,62.0
139,Gossip,2000,5.9,31,12909,59.0
140,Down to You,2000,4.9,13,12753,49.0
141,Bless the Child,2000,5.1,17,12476,51.0
142,Ready to Rumble,2000,5.3,23,12156,53.0
143,Drowning Mona,2000,5.6,25,12077,56.0
144,Cecil B. DeMented,2000,6.2,57,11796,62.0
145,All the Pretty Horses,2000,5.8,55,11748,58.0
146,Italiensk for begyndere,2000,7.1,77,11691,71.0
147,Gangster No. 1,2000,6.8,60,11418,68.0
148,The Ladies Man,2000,5.1,22,11127,51.0
149,Animal Factory,2000,6.6,65,10974,66.0
150,Seom,2000,7.1,61,10727,71.0
151,Blood: The Last Vampire,2000,6.7,44,10566,67.0
152,Anatomie,2000,6.1,33,10541,61.0
153,Hanging Up,2000,4.8,33,10530,48.0
154,Snow Day,2000,5.0,34,9866,50.0
155,Lost Souls,2000,4.8,16,9630,48.0
156,The Next Best Thing,2000,4.7,25,9625,47.0
157,Werckmeister harmóniák,2000,8.3,92,9566,83.0
158,Bait,2000,5.7,39,9425,57.0
159,Code Unknown,2000,7.2,74,9097,72.0
160,Bamboozled,2000,6.5,50,8960,65.0
161,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1329817,88.0
162,A Beautiful Mind,2001,8.2,72,667157,82.0
163,"Monsters, Inc.",2001,8.1,78,639207,81.0
164,Donnie Darko,2001,8.1,88,624352,81.0
165,Amélie,2001,8.4,69,576171,84.0
166,Shrek,2001,7.9,84,498450,79.0
167,Harry Potter and the Sorcerer's Stone,2001,7.5,64,487699,75.0
168,Spirited Away,2001,8.6,94,463943,86.0
169,Ocean's Eleven,2001,7.8,74,428201,78.0
170,Training Day,2001,7.7,69,324469,77.0
171,Black Hawk Down,2001,7.7,74,309375,77.0
172,The Fast and the Furious,2001,6.7,58,291402,67.0
173,The Others,2001,7.6,74,286803,76.0
174,Pearl Harbor,2001,6.1,44,268759,61.0
175,The Mummy Returns,2001,6.3,48,261146,63.0
176,Mulholland Dr.,2001,8.0,83,257639,80.0
177,A.I. Artificial Intelligence,2001,7.1,65,251822,71.0
178,Jurassic Park III,2001,5.9,42,235278,59.0
179,Moulin Rouge!,2001,7.6,66,234475,76.0
180,The Royal Tenenbaums,2001,7.6,76,222150,76.0
181,Hannibal,2001,6.8,57,218462,68.0
182,Vanilla Sky,2001,6.9,45,215894,69.0
183,Zoolander,2001,6.6,61,212387,66.0
184,American Pie 2,2001,6.4,43,209311,64.0
185,Blow,2001,7.6,52,208376,76.0
186,Enemy at the Gates,2001,7.6,53,201902,76.0
187,Bridget Jones's Diary,2001,6.7,66,186261,67.0
188,Planet of the Apes,2001,5.7,50,185499,57.0
189,Rush Hour 2,2001,6.6,48,169238,66.0
190,Lara Croft: Tomb Raider,2001,5.8,33,165489,58.0
191,Swordfish,2001,6.5,32,160566,65.0
192,K-PAX,2001,7.4,49,156765,74.0
193,A Knight's Tale,2001,6.9,56,144223,69.0
194,Legally Blonde,2001,6.2,59,142097,62.0
195,Jay and Silent Bob Strike Back,2001,6.9,51,133265,69.0
196,From Hell,2001,6.8,54,130355,68.0
197,I Am Sam,2001,7.6,28,127225,76.0
198,Spy Game,2001,7.1,63,126210,71.0
199,Scary Movie 2,2001,5.3,29,126112,53.0
200,Shallow Hal,2001,5.9,48,113541,59.0
201,The Score,2001,6.8,71,105840,68.0
202,Evolution,2001,6.0,40,105810,60.0
203,The Princess Diaries,2001,6.3,52,101771,63.0
204,Ghost World,2001,7.4,88,100546,74.0
205,Rat Race,2001,6.4,52,96735,64.0
206,Y Tu Mamá También,2001,7.7,88,96352,77.0
207,Jeepers Creepers,2001,6.1,49,92704,61.0
208,The Mexican,2001,6.1,43,90925,61.0
209,Serendipity,2001,6.9,52,90412,69.0
210,Behind Enemy Lines,2001,6.4,49,89983,64.0
211,The Man Who Wasn't There,2001,7.6,73,89747,76.0
212,Spy Kids,2001,5.4,71,89384,54.0
213,Not Another Teen Movie,2001,5.7,32,84059,57.0
214,Ali,2001,6.8,65,82356,68.0
215,The Experiment,2001,7.8,60,81912,78.0
216,The One,2001,5.9,25,81248,59.0
217,Lagaan: Once Upon a Time in India,2001,8.2,84,81080,82.0
218,Super Troopers,2001,7.1,48,79718,71.0
219,Atlantis: The Lost Empire,2001,6.8,52,79176,68.0
220,Final Fantasy: The Spirits Within,2001,6.4,49,74977,64.0
221,Monster's Ball,2001,7.1,69,74002,71.0
222,Sweet November,2001,6.7,27,73745,67.0
223,Thir13en Ghosts,2001,5.5,30,68348,55.0
224,Kate & Leopold,2001,6.4,44,68201,64.0
225,Gosford Park,2001,7.3,90,67830,73.0
226,The Wedding Planner,2001,5.2,33,64860,52.0
227,Frailty,2001,7.3,64,64573,73.0
228,Along Came a Spider,2001,6.3,42,61992,63.0
229,Shaolin Soccer,2001,7.3,68,60965,73.0
230,The Last Castle,2001,6.9,43,59641,69.0
231,Bandits,2001,6.5,60,58837,65.0
232,Joy Ride,2001,6.6,75,55682,66.0
233,Kiss of the Dragon,2001,6.6,58,54909,66.0
234,Brotherhood of the Wolf,2001,7.1,57,54478,71.0
235,Waking Life,2001,7.8,82,52176,78.0
236,The Devil's Backbone,2001,7.5,78,50709,75.0
237,Save the Last Dance,2001,6.2,53,50159,62.0
238,The Animal,2001,4.8,43,49546,48.0
239,America's Sweethearts,2001,5.7,44,49241,57.0
240,Cats & Dogs,2001,5.1,47,48397,51.0
241,Original Sin,2001,6.0,33,46915,60.0
242,The Majestic,2001,6.9,27,46657,69.0
243,Session 9,2001,6.5,58,46090,65.0
244,Heartbreakers,2001,6.2,47,45828,62.0
245,How High,2001,6.3,29,45143,63.0
246,Ghosts of Mars,2001,4.9,35,44852,49.0
247,Koroshiya 1,2001,7.1,50,44632,71.0
248,The Pledge,2001,6.8,71,44626,68.0
249,15 Minutes,2001,6.1,34,43937,61.0
250,Formula 51,2001,6.3,23,43921,63.0
251,Joe Dirt,2001,5.9,20,43543,59.0
252,Wet Hot American Summer,2001,6.7,42,43502,67.0
253,The Piano Teacher,2001,7.4,79,42242,74.0
254,Don't Say a Word,2001,6.3,38,42074,63.0
255,Jason X,2001,4.4,25,41288,44.0
256,Freddy Got Fingered,2001,4.5,13,40899,45.0
257,Life as a House,2001,7.5,45,40069,75.0
258,No Man's Land,2001,8.0,84,39264,80.0
259,3000 Miles to Graceland,2001,5.9,21,39153,59.0
260,Rock Star,2001,6.2,54,35855,62.0
261,Dr. Dolittle 2,2001,4.7,49,35685,47.0
262,Driven,2001,4.5,29,35478,45.0
263,Saving Silverman,2001,5.9,22,34392,59.0
264,Cowboy Bebop: The Movie,2001,7.9,61,34305,79.0
265,In the Bedroom,2001,7.5,86,33454,75.0
266,The Curse of the Jade Scorpion,2001,6.8,52,33439,68.0
267,Black Knight,2001,4.8,32,32332,48.0
268,The Believer,2001,7.2,75,31953,72.0
269,Hearts in Atlantis,2001,6.9,55,31536,69.0
270,Wasabi,2001,6.6,53,31030,66.0
271,Mean Machine,2001,6.5,45,30810,65.0
272,Sex and Lucia,2001,7.2,65,30746,72.0
273,Bully,2001,7.0,45,30508,70.0
274,The Shipping News,2001,6.8,47,29541,68.0
275,Captain Corelli's Mandolin,2001,5.9,36,29116,59.0
276,Heist,2001,6.5,66,28864,65.0
277,Exit Wounds,2001,5.5,39,28551,55.0
278,Hedwig and the Angry Inch,2001,7.8,85,27460,78.0
279,Osmosis Jones,2001,6.3,57,26939,63.0
280,Bubble Boy,2001,5.6,41,26755,56.0
281,The Glass House,2001,5.8,34,26755,58.0
282,One Night at McCool's,2001,6.1,46,26383,61.0
283,Antitrust,2001,6.1,31,26214,61.0
284,Jimmy Neutron: Boy Genius,2001,6.0,65,25442,60.0
285,The Tailor of Panama,2001,6.1,66,24788,61.0
286,Hardball,2001,6.4,48,23681,64.0
287,Riding in Cars with Boys,2001,6.5,43,23560,65.0
288,Birthday Girl,2001,6.1,51,22208,61.0
289,Crazy/Beautiful,2001,6.5,61,22027,65.0
290,Domestic Disturbance,2001,5.5,29,21974,55.0
291,Valentine,2001,4.7,18,21253,47.0
292,Buffalo Soldiers,2001,6.9,56,21240,69.0
293,Someone Like You...,2001,6.1,32,20746,61.0
294,Impostor,2001,6.2,33,20609,62.0
295,Monsoon Wedding,2001,7.4,77,20604,74.0
296,Crocodile Dundee in Los Angeles,2001,4.8,37,20579,48.0
297,Knockaround Guys,2001,6.1,30,20380,61.0
298,Angel Eyes,2001,5.6,39,20162,56.0
299,Glitter,2001,2.2,14,19891,22.0
300,Down to Earth,2001,5.4,32,19578,54.0
301,Josie and the Pussycats,2001,5.3,47,19479,53.0
302,Enigma,2001,6.4,64,18218,64.0
303,Lost and Delirious,2001,7.0,53,17738,70.0
304,O,2001,6.2,53,17694,62.0
305,Metropolis,2001,7.3,75,17690,73.0
306,Lantana,2001,7.3,84,17001,73.0
307,Tape,2001,7.3,71,16533,73.0
308,Millennium Actress,2001,7.9,70,16428,79.0
309,Get Over It,2001,5.8,52,16105,58.0
310,Human Nature,2001,6.4,56,15955,64.0
311,Just Visiting,2001,5.8,38,15887,58.0
312,Tomcats,2001,5.3,15,15823,53.0
313,Storytelling,2001,6.9,50,15729,69.0
314,Made,2001,6.4,62,15542,64.0
315,La stanza del figlio,2001,7.4,73,15406,74.0
316,Iris,2001,7.1,76,15313,71.0
317,Out Cold,2001,6.3,22,15044,63.0
318,Monkeybone,2001,4.7,40,14865,47.0
319,Le placard,2001,7.1,72,14629,71.0
320,Kissing Jessica Stein,2001,6.6,72,14473,66.0
321,Summer Catch,2001,4.9,21,13520,49.0
322,The Musketeer,2001,4.7,27,13136,47.0
323,What's the Worst That Could Happen?,2001,5.5,37,13064,55.0
324,Elling,2001,7.6,70,12722,76.0
325,Kairo,2001,6.6,70,12532,66.0
326,The Lord of the Rings: The Two Towers,2002,8.7,88,1186229,87.0
327,Catch Me If You Can,2002,8.1,76,593685,81.0
328,Spider-Man,2002,7.3,73,577745,73.0
329,City of God,2002,8.7,79,571277,87.0
330,The Pianist,2002,8.5,85,546208,85.0
331,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,502727,66.0
332,The Bourne Identity,2002,7.9,68,436866,79.0
333,Minority Report,2002,7.7,80,424169,77.0
334,Harry Potter and the Chamber of Secrets,2002,7.4,63,423245,74.0
335,Ice Age,2002,7.6,60,350539,76.0
336,Gangs of New York,2002,7.5,72,334468,75.0
337,28 Days Later...,2002,7.6,73,315615,76.0
338,Signs,2002,6.7,59,288958,67.0
339,Men in Black II,2002,6.1,49,281206,61.0
340,Equilibrium,2002,7.5,33,274058,75.0
341,The Ring,2002,7.1,57,270990,71.0
342,The Transporter,2002,6.8,51,249910,68.0
343,Insomnia,2002,7.2,78,230841,72.0
344,Phone Booth,2002,7.1,56,219015,71.0
345,Panic Room,2002,6.8,65,217787,68.0
346,Red Dragon,2002,7.2,60,213458,72.0
347,Resident Evil,2002,6.7,33,213436,67.0
348,Road to Perdition,2002,7.7,72,211048,77.0
349,8 Mile,2002,7.0,77,201402,70.0
350,Chicago,2002,7.2,82,182598,72.0
351,Die Another Day,2002,6.1,56,177179,61.0
352,A Walk to Remember,2002,7.4,35,172348,74.0
353,Austin Powers in Goldmember,2002,6.2,62,170179,62.0
354,Blade II,2002,6.7,52,168880,67.0
355,Ying xiong,2002,7.9,85,155796,79.0
356,25th Hour,2002,7.7,67,154859,77.0
357,xXx,2002,5.8,48,153849,58.0
358,Adaptation.,2002,7.7,83,151232,77.0
359,About a Boy,2002,7.1,75,149723,71.0
360,Lilo & Stitch,2002,7.2,73,128199,72.0
361,Bowling for Columbine,2002,8.0,72,127669,80.0
362,Punch-Drunk Love,2002,7.3,78,116698,73.0
363,Mr. Deeds,2002,5.8,24,116434,58.0
364,Reign of Fire,2002,6.2,39,112170,62.0
365,About Schmidt,2002,7.2,85,111140,72.0
366,The Count of Monte Cristo,2002,7.7,61,110346,77.0
367,We Were Soldiers,2002,7.2,65,109911,72.0
368,The Scorpion King,2002,5.5,45,109077,55.0
369,The Time Machine,2002,5.9,42,107241,59.0
370,The Hours,2002,7.6,81,107034,76.0
371,My Big Fat Greek Wedding,2002,6.6,62,107027,66.0
372,John Q,2002,7.1,30,104857,71.0
373,One Hour Photo,2002,6.8,64,101400,68.0
374,Infernal Affairs,2002,8.1,75,98417,81.0
375,Irreversible,2002,7.4,51,93493,74.0
376,Bend It Like Beckham,2002,6.7,66,93451,67.0
377,Van Wilder,2002,6.4,26,92415,64.0
378,Two Weeks Notice,2002,6.1,42,90663,61.0
379,Talk to Her,2002,8.0,86,90567,80.0
380,The Sum of All Fears,2002,6.4,45,90028,64.0
381,Sweet Home Alabama,2002,6.2,45,87798,62.0
382,Ghost Ship,2002,5.5,28,79569,55.0
383,The Hot Chick,2002,5.5,29,78410,55.0
384,Treasure Planet,2002,7.1,60,77966,71.0
385,Scooby-Doo,2002,5.0,35,76306,50.0
386,Confessions of a Dangerous Mind,2002,7.1,67,74046,71.0
387,Analyze That,2002,5.9,37,72624,59.0
388,Maid in Manhattan,2002,5.1,45,71965,51.0
389,Secretary,2002,7.0,63,71346,70.0
390,Jackass: The Movie,2002,6.6,42,71037,66.0
391,Solaris,2002,6.2,65,69997,62.0
392,Unfaithful,2002,6.7,63,66693,67.0
393,The Mothman Prophecies,2002,6.5,52,66194,65.0
394,The Tuxedo,2002,5.3,30,66054,53.0
395,Frida,2002,7.4,61,65705,74.0
396,Cabin Fever,2002,5.6,56,64824,56.0
397,40 Days and 40 Nights,2002,5.6,53,64040,56.0
398,Collateral Damage,2002,5.5,33,64026,55.0
399,Star Trek: Nemesis,2002,6.4,51,61692,64.0
400,Changing Lanes,2002,6.5,69,59748,65.0
401,Windtalkers,2002,6.0,51,58315,60.0
402,Showtime,2002,5.5,32,54404,55.0
403,S1m0ne,2002,6.1,49,53634,61.0
404,K-19: The Widowmaker,2002,6.7,58,51476,67.0
405,Sympathy for Mr. Vengeance,2002,7.7,56,49649,77.0
406,Spirit: Stallion of the Cimarron,2002,7.1,52,48971,71.0
407,Spy Kids 2: Island of Lost Dreams,2002,5.1,66,48177,51.0
408,The Sweetest Thing,2002,5.1,32,48093,51.0
409,Queen of the Damned,2002,5.3,30,45874,53.0
410,Eight Legged Freaks,2002,5.4,53,45775,54.0
411,Murder by Numbers,2002,6.1,50,45679,61.0
412,The Rules of Attraction,2002,6.7,50,45593,67.0
413,Hart's War,2002,6.3,49,45464,63.0
414,I Spy,2002,5.4,35,43325,54.0
415,Orange County,2002,6.2,48,42527,62.0
416,Bad Company,2002,5.6,37,40909,56.0
417,Bubba Ho-Tep,2002,7.2,57,40368,72.0
418,Stuart Little 2,2002,5.4,66,39581,54.0
419,The Good Girl,2002,6.5,71,39266,65.0
420,Kung Pow: Enter the Fist,2002,6.2,14,39246,62.0
421,Far from Heaven,2002,7.4,84,38080,74.0
422,The Santa Clause 2,2002,5.6,48,37700,56.0
423,In America,2002,7.8,76,37493,78.0
424,Lilya 4-Ever,2002,7.9,82,37054,79.0
425,Dirty Pretty Things,2002,7.4,78,36281,74.0
426,Blood Work,2002,6.4,64,36074,64.0
427,L'auberge espagnole,2002,7.3,65,35629,73.0
428,Death to Smoochy,2002,6.4,38,35596,64.0
429,Whale Rider,2002,7.6,80,35445,76.0
430,Crossroads,2002,3.4,27,35098,34.0
431,Narc,2002,7.2,70,35060,72.0
432,Ju-on: The Grudge,2002,6.7,48,33788,67.0
433,Spun,2002,6.8,41,33209,68.0
434,Dragonfly,2002,6.1,25,32854,61.0
435,Enough,2002,5.6,25,32374,56.0
436,High Crimes,2002,6.3,48,31998,63.0
437,Spider,2002,6.8,83,31338,68.0
438,Undercover Brother,2002,5.8,69,30424,58.0
439,Big Fat Liar,2002,5.4,36,30235,54.0
440,Igby Goes Down,2002,7.0,72,29756,70.0
441,The New Guy,2002,5.9,24,29732,59.0
442,Femme Fatale,2002,6.3,59,29699,63.0
443,Drumline,2002,5.7,63,29431,57.0
444,The Four Feathers,2002,6.5,49,29258,65.0
445,Halloween: Resurrection,2002,4.1,19,28570,41.0
446,24 Hour Party People,2002,7.4,85,28202,74.0
447,May,2002,6.7,58,28086,67.0
448,Antwone Fisher,2002,7.3,62,28041,73.0
449,The Rookie,2002,7.0,72,27746,70.0
450,Boat Trip,2002,4.9,18,27408,49.0
451,The Salton Sea,2002,7.2,41,27378,72.0
452,Blue Crush,2002,5.6,61,26921,56.0
453,White Oleander,2002,7.2,61,26532,72.0
454,Gin gwai,2002,6.7,66,25560,67.0
455,8 femmes,2002,7.1,64,24745,71.0
456,The Quiet American,2002,7.1,84,24617,71.0
457,Rabbit-Proof Fence,2002,7.5,80,24312,75.0
458,Undisputed,2002,6.2,58,23782,62.0
459,Barbershop,2002,6.3,66,23573,63.0
460,The Magdalene Sisters,2002,7.8,83,23072,78.0
461,Rollerball,2002,3.0,14,22882,30.0
462,Hollywood Ending,2002,6.6,46,22782,66.0
463,City by the Sea,2002,6.1,50,21993,61.0
464,Snow Dogs,2002,5.1,29,21425,51.0
465,Heaven,2002,7.1,68,21083,71.0
466,The Adventures of Pluto Nash,2002,3.8,12,21074,38.0
467,Friday After Next,2002,5.8,35,20861,58.0
468,Bloody Sunday,2002,7.7,90,20601,77.0
469,Trapped,2002,6.2,42,20374,62.0
470,Life or Something Like It,2002,5.8,31,20291,58.0
471,The Importance of Being Earnest,2002,6.9,60,19714,69.0
472,Tasogare Seibei,2002,8.1,82,18916,81.0
473,Eight Crazy Nights,2002,5.3,23,18839,53.0
474,The Master of Disguise,2002,3.3,12,18838,33.0
475,Tuck Everlasting,2002,6.7,66,18786,67.0
476,Below,2002,6.2,55,18622,62.0
477,The Man Without a Past,2002,7.7,84,18440,77.0
478,Dark Blue,2002,6.6,57,17936,66.0
479,Big Trouble,2002,6.5,47,17915,65.0
480,Feardotcom,2002,3.3,16,17700,33.0
481,Darkness,2002,5.4,15,17253,54.0
482,Ballistic: Ecks vs. Sever,2002,3.6,19,17149,36.0
483,Swimfan,2002,5.0,29,16924,50.0
484,À la folie... pas du tout,2002,7.2,63,16795,72.0
485,Like Mike,2002,5.1,47,15942,51.0
486,Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,48,15912,60.0
487,Gerry,2002,6.2,54,15796,62.0
488,Roger Dodger,2002,7.0,75,15732,70.0
489,Russkiy kovcheg,2002,7.4,86,15321,74.0
490,The Emperor's Club,2002,6.9,49,14960,69.0
491,Serving Sara,2002,5.3,18,14870,53.0
492,Return to Never Land,2002,5.8,49,14358,58.0
493,Dolls,2002,7.7,71,13935,77.0
494,The Guru,2002,5.4,47,13883,54.0
495,Uzak,2002,7.7,84,13798,77.0
496,Swept Away,2002,3.6,18,13598,36.0
497,The Lord of the Rings: The Return of the King,2003,8.9,94,1308787,89.0
498,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,870656,80.0
499,Kill Bill: Vol. 1,2003,8.1,69,792250,81.0
500,Finding Nemo,2003,8.1,90,756807,81.0
501,The Matrix Reloaded,2003,7.2,62,441765,72.0
502,X2,2003,7.5,68,434623,75.0
503,Oldeuboi,2003,8.4,74,390516,84.0
504,The Matrix Revolutions,2003,6.7,47,382879,67.0
505,Big Fish,2003,8.0,58,365746,80.0
506,Mystic River,2003,8.0,84,356503,80.0
507,Love Actually,2003,7.7,55,342515,77.0
508,Lost in Translation,2003,7.8,89,339923,78.0
509,The Last Samurai,2003,7.7,55,335701,77.0
510,Terminator 3: Rise of the Machines,2003,6.3,66,321873,63.0
511,Bruce Almighty,2003,6.7,46,314888,67.0
512,The Italian Job,2003,7.0,68,299209,70.0
513,Underworld,2003,7.0,42,222616,70.0
514,Hulk,2003,5.7,54,221571,57.0
515,School of Rock,2003,7.1,82,221457,71.0
516,2 Fast 2 Furious,2003,5.9,38,207607,59.0
517,21 Grams,2003,7.7,70,198256,77.0
518,Old School,2003,7.2,54,192125,72.0
519,Identity,2003,7.3,64,188957,73.0
520,Bad Boys II,2003,6.6,38,187996,66.0
521,Daredevil,2003,5.3,42,183368,53.0
522,Anger Management,2003,6.2,52,178514,62.0
523,Master and Commander: The Far Side of the World,2003,7.4,81,176070,74.0
524,American Wedding,2003,6.3,43,169702,63.0
525,How to Lose a Guy in 10 Days,2003,6.4,45,168822,64.0
526,Elf,2003,6.9,64,160109,69.0
527,The League of Extraordinary Gentlemen,2003,5.8,30,147067,58.0
528,Once Upon a Time in Mexico,2003,6.4,56,135732,64.0
529,Final Destination 2,2003,6.2,38,127313,62.0
530,S.W.A.T.,2003,6.0,45,124320,60.0
531,Cold Mountain,2003,7.2,73,123146,72.0
